Ticker,Open Price,Previous Close,Volume
MMM,143.68,142.32,"1,244,840"
AXP,290.93,287.79,"1,698,553"
AAPL,197.30,196.45,"42,412,753"
AMGN,296.31,295.22,"2,034,960"
BA,200.57,200.32,"6,292,363"
CAT,361.00,357.05,--
CVX,145.73,145.91,"10,071,739"
CSCO,65.19,64.09,"16,874,373"
KO,71.20,71.02,--
DOW,30.34,29.90,"8,991,056"
DIS,118.02,117.94,"8,084,395"
GS,619.00,613.54,"1,319,369"
HD,355.88,354.66,--
HON,225.57,224.29,"2,437,712"
IBM,279.30,277.22,"2,743,399"
INTC,20.41,20.14,"86,105,491"
JNJ,156.42,157.10,"5,575,009"
JPM,267.00,264.95,"5,549,182"
MCD,303.14,301.91,"3,500,524"
MRK,80.88,80.90,"9,280,244"
MSFT,475.27,474.96,"15,497,636"
NKE,61.38,60.53,"11,064,810"
PG,160.88,160.28,"6,318,973"
CRM,260.39,258.40,"4,957,696"
SHW,337.49,335.88,"1,368,447"
TRV,265.00,263.47,"824,263"
UNH,313.00,311.32,"13,065,049"
VZ,42.96,43.01,"16,718,126"
V,356.49,352.85,"6,170,903"
WMT,94.75,94.44,"11,926,452"
AMZN,212.31,212.10,"32,973,402"
NVDA,143.35,141.97,"181,262,470"
