Ticker,Open Price,Previous Close,Volume
MMM,143.68,142.32,"984,540"
AXP,290.93,287.79,"1,441,211"
AAPL,197.29,196.45,"30,503,470"
AMGN,296.31,295.22,"1,320,115"
BA,200.57,200.32,"5,725,762"
CAT,361.00,357.05,--
CVX,145.73,145.91,"8,082,258"
CSCO,65.19,64.09,--
KO,71.20,71.02,"11,051,513"
DOW,30.34,29.90,"7,350,920"
DIS,118.02,117.94,"7,039,058"
GS,619.00,613.54,"1,153,526"
HD,355.88,354.66,"2,265,994"
HON,225.57,224.29,"1,182,858"
IBM,279.30,277.22,"2,390,692"
INTC,20.41,20.14,"70,573,226"
JNJ,156.42,157.10,--
JPM,267.00,264.95,"4,955,564"
MCD,303.14,301.91,"3,058,799"
MRK,80.88,80.90,"8,155,251"
MSFT,475.27,474.96,"10,119,604"
NKE,61.38,60.53,"9,731,340"
PG,160.88,160.28,--
CRM,260.39,258.40,"4,396,813"
SHW,337.49,335.88,--
TRV,265.00,263.47,"540,079"
UNH,313.00,311.32,"12,127,719"
VZ,42.96,43.01,"14,828,083"
V,356.49,352.85,"5,489,366"
WMT,94.75,94.44,"10,185,503"
AMZN,212.37,212.10,"24,209,976"
NVDA,143.35,141.97,"155,655,874"
